idx,cartoonstock_id,contest_number,description,caption,element
1,,2.0,"A group of adults dressed in business attire are seated around a table in a meeting. However, the scene is inside of a bus or subway car, with handles and windows. The person at the head of the table is speaking.","This is my stop. Phil, you'll be CEO til 63rd street.","The caption implies that because this business meets on public transit, their leadership is determined by who is currently riding"
2,,2.0,"A group of adults dressed in business attire are seated around a table in a meeting. However, the scene is inside of a bus or subway car, with handles and windows. The person at the head of the table is speaking.","Yes, I do miss the corporate jet. I miss the corporate jet very much.",This implies that holding meetings on public transit is a downgrade for the organization
3,,2.0,"A group of adults dressed in business attire are seated around a table in a meeting. However, the scene is inside of a bus or subway car, with handles and windows. The person at the head of the table is speaking.","Frank called to say he'll be late, he's stuck at the office.",This is specifically a wordplay reversing the more common phrase “being late to the office while stuck in transit”.
4,,3.0,"4 people in fancy attire sit behind a desk wearing gooseneck microphones, possibly in a game show or telethon. Behind them is a sign that reads in bold text ""EMERGENCY HOTLINE"". In front of them, a discheveled man in tattered clothes is crawling, looking up at them. The hosts are looking at the man with flat expressions. One host in the middle, a woman, leans over the desk with both hands, yelling angrily at the man crawling on the ground.",This better be good. That floor was waxed last night!,"The woman's callous attitude towards the man in need contradicts what we expect from an emergency hotline worker, who typically aims to be helpful"
5,,3.0,"4 people in fancy attire sit behind a desk wearing gooseneck microphones, possibly in a game show or telethon. Behind them is a sign that reads in bold text ""EMERGENCY HOTLINE"". In front of them, a discheveled man in tattered clothes is crawling, looking up at them. The hosts are looking at the man with flat expressions. One host in the middle, a woman, leans over the desk with both hands, yelling angrily at the man crawling on the ground.","Neither the time nor the place, Doug!","Typically, the emergency hotline is exactly the time and place for a person in need of help."
6,,3.0,"4 people in fancy attire sit behind a desk wearing gooseneck microphones, possibly in a game show or telethon. Behind them is a sign that reads in bold text ""EMERGENCY HOTLINE"". In front of them, a discheveled man in tattered clothes is crawling, looking up at them. The hosts are looking at the man with flat expressions. One host in the middle, a woman, leans over the desk with both hands, yelling angrily at the man crawling on the ground.",Would it kill you to use a few of your roaming minutes?,"The caption implies that the man is only visiting the hotline in person because it would have been an expensive phone call, a seemingly minor problem compared to whatever emergency the man is in"
7,,7.0,"In a bedroom, a couple is in bed. The wife is sitting upright, while the husband who is speaking is laying down. Next to the bed is a nightstand under a window. Through the window is a view of outer space, with all of Earth visible. The window is open with the curtains drawn.",It's just the wind.,This is a play on words on the dual meaning of wind to mean either typical wind or solar wind.
8,,7.0,"In a bedroom, a couple is in bed. The wife is sitting upright, while the husband who is speaking is laying down. Next to the bed is a nightstand under a window. Through the window is a view of outer space, with all of Earth visible. The window is open with the curtains drawn.",You always get like this when there's a full Earth.,"This caption reverses the idea of a ""full moon"" with a ""full earth"""
9,,7.0,"In a bedroom, a couple is in bed. The wife is sitting upright, while the husband who is speaking is laying down. Next to the bed is a nightstand under a window. Through the window is a view of outer space, with all of Earth visible. The window is open with the curtains drawn.","Relax, honey—everybody gets buyer's remorse","This caption gives the cartoon a backstory, acknowledging that outer space is an odd location for a house and implying that the woman is not entirely satisfied with it. "
10,,8.0,"A woman is speaking on the phone, smiling while looking into a fish bowl. Inside the fishbowl are three fish, as well as a miniature desert island with two little palm trees. On the island, a tiny bald man in glasses is sitting with a straight face, his hands on his knees.",We decided on separate vacations this year.,"This likens the fishbowl island to a beach resort, implying that the man is on vacation."
11,,8.0,"A woman is speaking on the phone, smiling while looking into a fish bowl. Inside the fishbowl are three fish, as well as a miniature desert island with two little palm trees. On the island, a tiny bald man in glasses is sitting with a straight face, his hands on his knees.","He's the cutest little thing, and when you get tired of him you just flush him down the toilet",The woman is talking about the man as if he's a pet fish
12,,8.0,"A woman is speaking on the phone, smiling while looking into a fish bowl. Inside the fishbowl are three fish, as well as a miniature desert island with two little palm trees. On the island, a tiny bald man in glasses is sitting with a straight face, his hands on his knees.",You wouldn't believe it! I met a man at the pet store.,"This subverts the typical meaning of the phrase. Typically, this would mean that she met a normal man as a potential dating partner, but here, she purchased him as a pet."
13,,13.0,"In an intimate bedroomsetting, a couple is in bed. The man is lying back on his helbows, while the woman is straddling him in a nightdress. However, the woman is wearing an antenna headband from a costume, the man is wearing a full-faced football helmet, and a tennis racket lies next to them on the bed. The woman's eyebrows are slightly furrowed.","Okay. Now you be the naughty mosquito, and I'll be the tormented sporting goods salesman.",The caption attempts to explain the collection of goods as a sexual roleplay
14,,13.0,"In an intimate bedroomsetting, a couple is in bed. The man is lying back on his helbows, while the woman is straddling him in a nightdress. However, the woman is wearing an antenna headband from a costume, the man is wearing a full-faced football helmet, and a tennis racket lies next to them on the bed. The woman's eyebrows are slightly furrowed.",I think we need a new sex therapist,This caption suggests that the odd situation is the result of an unusual sexual roleplay.
16,,15.0,"In a restaurant, a man and a woman are sitting down to eat dressed in nice clothing. The man is leaning over the table with his hand on a glass looking at the woman with a soft smile. However, the man is bald, and has a cartoonishly large forehead, with the outline of the woman visible on his forehead. The woman, siting upright, is speaking.",Don't move. I think I have something in my teeth.,"This implies that the outline of the woman is her reflection, and that she's using the man's bald head as a mirror. "
17,,15.0,"In a restaurant, a man and a woman are sitting down to eat dressed in nice clothing. The man is leaning over the table with his hand on a glass looking at the woman with a soft smile. However, the man is bald, and has a cartoonishly large forehead, with the outline of the woman visible on his forehead. The woman, siting upright, is speaking.","Well, it's a lovely gesture, but I still think we should start seeing other people.","This implies that the image on his forehead is a tattoo, as getting a tattoo of your significant other is a common practice"
18,,16.0,"As a group of people exits a grand church doorway dressed in typical church attire, a pastor in a typical black suit and roman collar stands next to the Devil, complete with horns, trident, robe, and tail. They watch the procession pass by, as the pastor is explaining something to the devil. One passerby tips his hat at the pastor and devil.",I think it's important for them to hear both sides of the debate.,It downplays the seriousness of religion by portraying the Devil as merely the “other side” in a casual debate
20,,16.0,"As a group of people exits a grand church doorway dressed in typical church attire, a pastor in a typical black suit and roman collar stands next to the Devil, complete with horns, trident, robe, and tail. They watch the procession pass by, as the pastor is explaining something to the devil. One passerby tips his hat at the pastor and devil.","O.K., they're yours, but I still don't know where you got that fourth ace.","This implies a backstory that the pastor and devil were playing poker, the pastor lost, and the people were the bet."
21,,20.0,"In a living room cocktail party setting, two couples in nice clothes are standing in a circle, holding champagne glasses. However one of the men is miniature, only reaching knee-hight. The other couple looks down on the tiny man, while the woman he is with is cheerfully speaking to the other couple. ","Whatever you do, don't agree to play hide-and-seek with him.",The man would be good at hide and seek because he is so small.
22,,20.0,"In a living room cocktail party setting, two couples in nice clothes are standing in a circle, holding champagne glasses. However one of the men is miniature, only reaching knee-hight. The other couple looks down on the tiny man, while the woman he is with is cheerfully speaking to the other couple. ",We met at the mini bar.,"This combines the typical phrase ""we met at a bar"" with the term minibar, because the man himself is miniature."
23,,20.0,"In a living room cocktail party setting, two couples in nice clothes are standing in a circle, holding champagne glasses. However one of the men is miniature, only reaching knee-hight. The other couple looks down on the tiny man, while the woman he is with is cheerfully speaking to the other couple. ",Larry can't tell you about his current project—it's top secret.,This implies that the man's top-secret project caused him to become tiny.
24,,23.0,"Two butterflies stand on adjascent twigs. While the butterfly on the left appears normal, the butterfly on the left's wings are replaced with the pattern of Piet Mondrian iconic ""Composition with Red, Blue and Yellow"". The butterfly on the right is speaking to the other butterfly.",But how will we raise the kids?,This is a reference to a common conversation had in mixed race/ethnicity/religion households
26,,23.0,"Two butterflies stand on adjascent twigs. While the butterfly on the left appears normal, the butterfly on the left's wings are replaced with the pattern of Piet Mondrian iconic ""Composition with Red, Blue and Yellow"". The butterfly on the right is speaking to the other butterfly.",You think this is weird? My sister looks like a soup can.,"This implies there is a family of butterflies with patterns of famous paintings, in this case, Andy Warhol's soup can."
27,,25.0,"In a social setting, several people are standing in a room wearing business attire and holding drinks. Two couples face each other, but the man in one of the couples is dressed in a full, vintage-style deep-sea diving suit, complete with a helmet and a hose attached to the back, looking somewhat uncomfortable.",This suit looked way better in the store.,"This is a play on words on ""suit,"" as in a formal suit or a diving suit."
28,,25.0,"In a social setting, several people are standing in a room wearing business attire and holding drinks. Two couples face each other, but the man in one of the couples is dressed in a full, vintage-style deep-sea diving suit, complete with a helmet and a hose attached to the back, looking somewhat uncomfortable.",Bob just came directly from work.,"This is a typical excuse for being underdressed for an event, implying that the man is a deep-sea diver for work."
29,,25.0,"In a social setting, several people are standing in a room wearing business attire and holding drinks. Two couples face each other, but the man in one of the couples is dressed in a full, vintage-style deep-sea diving suit, complete with a helmet and a hose attached to the back, looking somewhat uncomfortable.","We don't have much of a sex life, but he's good at finding keys in the swimming pool.","The woman implies that the man never takes off the suit, even at home"
30,,27.0,"Several men in suits are seated around a boardroom table with coffee mugs and documents. At the head of the table, one man is standing with his arms crossed. Everyone seated has a parrot sitting on their shoulder. One seated person with a parrot is speaking angrily to the man to his left.",We have to find a better way to record our meetings.,Parrots are known to repeat language
31,,27.0,"Several men in suits are seated around a boardroom table with coffee mugs and documents. At the head of the table, one man is standing with his arms crossed. Everyone seated has a parrot sitting on their shoulder. One seated person with a parrot is speaking angrily to the man to his left.","Well, it's not my fault booty revenues are down this quarter.","Parrots and ""booty"" are both concepts tied to pirates, implying that the company is actually a pirate operation"
32,,27.0,"Several men in suits are seated around a boardroom table with coffee mugs and documents. At the head of the table, one man is standing with his arms crossed. Everyone seated has a parrot sitting on their shoulder. One seated person with a parrot is speaking angrily to the man to his left.","Shut up, Bob, everyone knows your parrot's a clip-on.",This caption likens the parrots to accessories like ties.
33,,29.0,"A bald man in glasses and a suit points at a chart on an easel with a stick. The chart appears to be a map with two distinct cell-like patterns, one in the middle resembling clusters of ovals and another on the sides with a denser, smaller pattern. To the left, another man in a suit stands beside the easel, holding or steadying it, while on the right, a seated individual listens attentively. In the window in the background, the Washington Monument is visible.","The inland tortellini are still with you, sir, but you're losing support with the coastal risottos.",This caption interprets the blobs on the chart as representing a nation of pasta
34,,29.0,"A bald man in glasses and a suit points at a chart on an easel with a stick. The chart appears to be a map with two distinct cell-like patterns, one in the middle resembling clusters of ovals and another on the sides with a denser, smaller pattern. To the left, another man in a suit stands beside the easel, holding or steadying it, while on the right, a seated individual listens attentively. In the window in the background, the Washington Monument is visible.","Stay with me, sir. It's almost recess.",This caption likens a formal breifing of a government official to an elementary school biology lesson.
36,,30.0,"In a doctor’s office, a doctor wearing a lab coat and head mirror is speaking to a patient seated across the desk. The patient, dressed in a suit, is facing the doctor, seemingly engaged in conversation. However, standing behind the doctor is a mysterious figure wearing a trench coat, hat, and dark glasses, with their hands in their pockets. The desk between them holds a stethoscope, a notepad, a pen on a stand, and another small object.",That rash will need constant monitoring.,"While a private investigator typically monitors a person's whereabouts, in this setting, they are monitoring a rash."
37,,30.0,"In a doctor’s office, a doctor wearing a lab coat and head mirror is speaking to a patient seated across the desk. The patient, dressed in a suit, is facing the doctor, seemingly engaged in conversation. However, standing behind the doctor is a mysterious figure wearing a trench coat, hat, and dark glasses, with their hands in their pockets. The desk between them holds a stethoscope, a notepad, a pen on a stand, and another small object.","Instead of an expensive, invasive procedure, we've decided to beat it out of you.","This plays on the phrase “beat it out of you,” taking it as literally removing something instead of its figurative meaning of coercing information."
38,,30.0,"In a doctor’s office, a doctor wearing a lab coat and head mirror is speaking to a patient seated across the desk. The patient, dressed in a suit, is facing the doctor, seemingly engaged in conversation. However, standing behind the doctor is a mysterious figure wearing a trench coat, hat, and dark glasses, with their hands in their pockets. The desk between them holds a stethoscope, a notepad, a pen on a stand, and another small object.",Good news! We have a solid lead on who stole your liver.,This plays on the trope of stolen organs and suggests the man in the trench coat is investigating it
39,,32.0,"In the cartoon, a person dressed in a full rabbit costume, carrying a briefcase and reading a sheet of paper, walks down a hallway in a typical office setting. Two business-suited colleagues stand nearby, looking somewhat puzzled, while another person peeks out from an office doorway.","Well, there he goes—the first casualty of the War on Easter.","The caption interprets the man in the rabbit suit as reading a pink slip, having just been fired"
